method,mean_improvement,std_improvement,mean_final_value,std_final_value,success_rate,mean_time,n_successful,n_runs
BC_Surrogate_Random,0.0,0.0,0.0,0.0,0.0,0.0,0,27
BC_Acquisition_Learning,0.0,0.0,0.0,0.0,0.0,0.0,0,27
BC_Both,0.0,0.0,0.0,0.0,0.0,0.0,0,27
Learning_Baseline,-0.061215499338383474,0.5848630372197922,-0.0796104221932452,0.5749908496829245,1.0,34.666291899151275,27,27
Random_Baseline,-0.1905419230547354,0.9922271722577592,-0.16444641173196337,0.9617718961015341,1.0,1.540811370920252,27,27
Oracle_Baseline,-2.159960097357355,1.074032608722659,-2.1338645860345826,1.0584276793271417,1.0,8.169993118003562,27,27
