method,mean_improvement,std_improvement,mean_final_value,std_final_value,success_rate,mean_time,n_successful,n_runs
BC_Surrogate_Random,0.0,0.0,0.0,0.0,0.0,0.0,0,27
BC_Acquisition_Learning,0.0,0.0,0.0,0.0,0.0,0.0,0,27
BC_Both,0.0,0.0,0.0,0.0,0.0,0.0,0,27
Random_Baseline,-0.0990877095642241,1.1249458481436894,-0.06411892665804501,1.098194214803466,1.0,1.429029491212633,27,27
Learning_Baseline,-0.11270070206201463,0.7175779507924166,-0.11991589896691342,0.7146842311687309,1.0,37.26680028880084,27,27
Oracle_Baseline,-2.1781599152212343,1.0850469784313426,-2.143191132315055,1.0627958542412586,1.0,8.862218618392944,27,27
