method,mean_improvement,std_improvement,mean_final_value,std_final_value,success_rate,mean_time,n_successful,n_runs
BC_Surrogate_Random,0.0,0.0,0.0,0.0,0.0,0.0,0,27
BC_Acquisition_Learning,0.0,0.0,0.0,0.0,0.0,0.0,0,27
BC_Both,0.0,0.0,0.0,0.0,0.0,0.0,0,27
Random_Baseline,-0.19474014151772415,1.0110302966130624,-0.16909605362969968,1.0049714601131752,1.0,1.4619382134190313,27,27
Learning_Baseline,-0.2792531753625048,0.7011926373625387,-0.28870838350202477,0.6875532492592583,1.0,36.25496350394355,27,27
Oracle_Baseline,-2.150987849691538,1.0576877485134861,-2.125343761803513,1.0467881386224025,1.0,8.858259315843936,27,27
