Method,Final_Normalized_Target,Final_F1,Final_SHD,Min_Normalized_Target,Max_F1
Random,0.41108622668909794,,,0.34005252417272575,
Oracle,0.11170907422730107,,,0.09702045201501848,
Trained Policy,0.4691959565224038,,,0.3510916957939537,
Trained Policy + Surrogate,0.4752732155526663,0.0,,0.31187169682006,0.0
